TransactionID,Date,ProductName,Category,Region,SalesChannel,Quantity,UnitPrice,TotalAmount,PaymentMode,CustomerID
TXN000001,16-10-2025,Smartphone,Electronics,North,Online,4,1481.43,5925.72,Cash,CUST02772
TXN000002,12-07-2025,Television,Electronics,East,Online,2,2264.52,4529.04,Cash,CUST02299
TXN000003,22-07-2024,Hair Oil,Beauty,South,Online,8,5933.73,47469.84,Cash,CUST03109
TXN000004,12-06-2024,Perfume,Beauty,North,Offline,3,2231.61,6694.83,UPI,CUST00419
TXN000005,04-04-2024,Rice Bag,Grocery,North,Offline,10,2718.76,27187.6,Cash,CUST02989
TXN000006,15-04-2025,Cricket Bat,Sports,South,Online,9,3002.46,27022.14,UPI,CUST02365
TXN000007,15-07-2024,Face Cream,Beauty,East,Online,5,9853.69,49268.45,Credit Card,CUST03550
TXN000008,13-04-2024,Wheat Flour,Grocery,South,Offline,3,3764.79,11294.37,Credit Card,CUST02746
TXN000009,30-09-2024,Hair Oil,Beauty,East,Online,9,7318.36,65865.24,Credit Card,CUST01894
TXN000010,23-01-2025,Coffee Table,Furniture,West,Offline,1,2367.58,2367.58,Cash,CUST03298
TXN000011,19-11-2024,Wheat Flour,Grocery,East,Online,10,8776.04,87760.4,UPI,CUST00871
TXN000012,02-11-2025,Sugar,Grocery,South,Online,5,1482.34,7411.7,UPI,CUST03060
TXN000013,21-08-2025,Tea Powder,Grocery,South,Offline,4,9973.53,39894.12,Credit Card,CUST02088
TXN000014,20-05-2025,Smartphone,Electronics,East,Online,3,7941.59,23824.77,Net Banking,CUST02443
TXN000015,06-03-2024,Sugar,Grocery,South,Offline,9,8621.72,77595.48,Cash,CUST02787
TXN000016,27-04-2024,Sunscreen,Beauty,North,Offline,2,3005.65,6011.3,Credit Card,CUST01859
TXN000017,04-01-2024,Hair Oil,Beauty,North,Online,9,9135.02,82215.18,UPI,CUST03448
TXN000018,16-10-2025,Running Shoes,Sports,West,Online,6,7648.86,45893.16,Cash,CUST02454
TXN000019,27-11-2024,Rice Bag,Grocery,East,Offline,5,2470.58,12352.9,Credit Card,CUST03597
TXN000020,03-08-2025,Laptop,Electronics,South,Online,9,7681.76,69135.84,Credit Card,CUST02703
TXN000021,01-05-2025,Football,Sports,North,Offline,4,9296.24,37184.96,Credit Card,CUST02921
TXN000022,15-11-2024,Spices Pack,Grocery,North,Offline,9,4569.71,41127.39,Credit Card,CUST00921
TXN000023,06-03-2024,Sofa,Furniture,West,Online,1,802.83,802.83,Cash,CUST00938
TXN000024,10-03-2024,Bluetooth Speaker,Electronics,East,Online,5,6722.88,33614.4,Credit Card,CUST02209
TXN000025,15-05-2024,Sunscreen,Beauty,South,Online,8,8094.22,64753.76,Credit Card,CUST00387
TXN000026,09-04-2024,Perfume,Beauty,North,Offline,7,4723.54,33064.78,Cash,CUST02759
TXN000027,31-10-2025,Face Cream,Beauty,East,Offline,6,8025.87,48155.22,Cash,CUST01019
